id,realDonaldTrump,HillaryClinton
0,0.00895997,0.99104
1,0.00120457,0.998795
2,0.994602,0.00539804
3,0.00802265,0.991977
4,0.998873,0.00112698
5,0.00300115,0.996999
6,0.0422441,0.957756
7,0.00858269,0.991417
8,0.00435129,0.995649
9,0.436589,0.563411
10,0.176573,0.823427
11,0.177685,0.822315
12,0.00343178,0.996568
13,0.0268311,0.973169
14,0.327949,0.672051
15,0.788873,0.211127
16,0.106218,0.893782
17,0.999513,0.000487134
18,0.00526503,0.994735
19,0.998859,0.00114096
20,0.999176,0.000824223
21,0.00322512,0.996775
22,0.201248,0.798752
23,0.932067,0.0679328
24,0.00360166,0.996398
25,0.00292119,0.997079
26,0.999036,0.000963621
27,0.00194063,0.998059
28,0.0434465,0.956554
29,0.529991,0.470009
30,0.286518,0.713482
31,0.976218,0.0237816
32,0.0275568,0.972443
33,0.155103,0.844897
34,0.900988,0.0990118
35,0.65512,0.34488
36,0.00375318,0.996247
37,0.290986,0.709014
38,0.0361898,0.96381
39,0.60459,0.39541
40,0.0019816,0.998018
41,0.0423664,0.957634
42,0.00118979,0.99881
43,0.0021,0.9979
44,0.173008,0.826992
45,0.0131961,0.986804
46,0.00373616,0.996264
47,0.813204,0.186796
48,0.0663348,0.933665
49,0.0250889,0.974911
50,0.92964,0.07036
51,0.81455,0.18545
52,0.0088189,0.991181
53,0.0239512,0.976049
54,0.0290834,0.970917
55,0.995769,0.00423134
56,0.115419,0.884581
57,0.00327262,0.996727
58,0.00615131,0.993849
59,0.997474,0.00252555
60,0.00589971,0.9941
61,0.0135294,0.986471
62,0.553441,0.446559
63,0.134465,0.865535
64,0.0362364,0.963764
65,0.00393769,0.996062
66,0.0816932,0.918307
67,0.00699215,0.993008
68,0.0117504,0.98825
69,0.00665908,0.993341
70,0.993944,0.00605627
71,0.0547359,0.945264
72,0.0145157,0.985484
73,0.0098434,0.990157
74,0.0107462,0.989254
75,0.0044291,0.995571
76,0.0207246,0.979275
77,0.00536381,0.994636
78,0.010313,0.989687
79,0.00856572,0.991434
80,0.00390827,0.996092
81,0.341101,0.658899
82,0.00201678,0.997983
83,0.57454,0.425461
84,0.983664,0.0163363
