,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow,cluster_label
0,1.0,1.0,1.0,1.0,1.0,5,3.0,1.0,3.0,2.0,20.0,163.0,48.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,6
1,1.0,1.0,1.0,2.0,1.0,1,1.0,3.0,1.0,4.0,19.0,163.0,58.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
2,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,20.0,176.0,67.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
3,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,4.0,3.0,20.0,170.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
4,3.0,2.0,2.0,2.0,1.0,2,2.0,1.0,1.0,3.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
5,1.0,3.0,2.0,1.0,1.0,5,1.0,4.0,1.0,1.0,20.0,177.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2
6,3.0,2.0,4.0,3.0,1.0,5,3.0,1.0,2.0,4.0,19.0,184.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
7,4.0,5.0,4.0,5.0,3.0,4,4.0,3.0,5.0,3.0,19.0,174.0,60.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5
8,1.0,1.0,2.0,2.0,2.0,1,1.0,1.0,4.0,2.0,19.0,175.0,60.0,2.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,5
9,4.0,1.0,1.0,3.0,5.0,5,5.0,5.0,5.0,5.0,17.0,176.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,5
10,1.0,1.0,1.0,1.0,1.0,3,1.0,5.0,2.0,2.0,24.0,168.0,55.0,10.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2
11,2.0,3.0,3.0,4.0,3.0,4,3.0,2.0,1.0,3.0,19.0,165.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
12,5.0,5.0,3.0,3.0,2.0,5,1.0,5.0,5.0,3.0,22.0,175.0,57.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5
13,1.0,3.0,5.0,4.0,5.0,3,1.0,2.0,5.0,4.0,19.0,175.0,65.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5
14,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,18.0,181.0,78.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,4
15,3.0,2.0,2.0,4.0,4.0,2,2.0,2.0,2.0,3.0,18.0,188.0,90.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
16,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
17,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,24.0,186.0,85.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
18,2.0,4.0,5.0,3.0,3.0,3,2.0,3.0,3.0,3.0,20.0,168.0,54.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
19,1.0,1.0,2.0,1.0,5.0,5,4.0,5.0,5.0,5.0,19.0,167.0,51.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
20,3.0,2.0,2.0,3.0,5.0,2,1.0,4.0,4.0,2.0,20.0,170.0,56.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2
21,1.0,1.0,1.0,1.0,1.0,2,1.0,2.0,2.0,3.0,22.0,165.0,63.0,1.0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
