date,max_price
12/11/15,3455.55
12/10/15,3503.65
12/9/15,3495.7
12/8/15,3518.65
12/7/15,3543.95
12/4/15,3568.97
12/3/15,3591.73
12/2/15,3538.85
12/1/15,3483.41
11/30/15,3470.37
11/27/15,3621.9
11/26/15,3668.38
11/25/15,3648.37
11/24/15,3616.48
11/23/15,3654.75
11/20/15,3640.53
11/19/15,3618.21
11/18/15,3617.07
11/17/15,3678.27
11/16/15,3607.61
11/13/15,3632.56
11/12/15,3659.31
11/11/15,3654.88
11/10/15,3669.53
11/9/15,3673.76
11/6/15,3596.38
11/5/15,3585.66
11/4/15,3459.65
11/3/15,3346.28
11/2/15,3391.06
10/30/15,3417.2
10/29/15,3411.71
10/28/15,3439.76
10/27/15,3441.57
10/26/15,3457.52
10/23/15,3422.02
10/22/15,3373.78
10/21/15,3447.26
10/20/15,3425.52
10/19/15,3423.4
10/16/15,3393.02
10/15/15,3338.3
10/14/15,3307.32
10/13/15,3298.63
10/12/15,3318.71
10/9/15,3192.72
10/8/15,3172.28
9/30/15,3073.3
9/29/15,3068.3
9/28/15,3103.07
9/25/15,3149.95
9/24/15,3151.17
9/23/15,3164.04
9/22/15,3213.48
9/21/15,3159.88
9/18/15,3122.05
9/17/15,3204.7
9/16/15,3182.93
9/15/15,3081.7
9/14/15,3229.48
9/11/15,3223.76
9/10/15,3243.28
9/9/15,3256.74
9/8/15,3174.71
9/7/15,3217.58
9/2/15,3194.49
9/1/15,3180.33
8/31/15,3207.86
8/28/15,3235.84
8/27/15,3085.42
8/26/15,3092.04
8/25/15,3123.03
8/24/15,3388.36
8/21/15,3652.84
8/20/15,3788.01
8/19/15,3811.43
8/18/15,4006.34
8/17/15,3994.54
8/14/15,4000.68
8/13/15,3955.79
8/12/15,3937.77
8/11/15,3970.34
8/10/15,3943.62
8/7/15,3756.74
8/6/15,3710.57
8/5/15,3782.35
8/4/15,3757.03
8/3/15,3648.94
7/31/15,3729.51
7/30/15,3844.37
7/29/15,3792.07
7/28/15,3762.53
