cross validation  0
Initialized
Loss at step 0: 1.001784, train accuarcy : 0.349296
Loss at step 200: 0.165952, train accuarcy : 0.788732
Loss at step 400: 0.134667, train accuarcy : 0.842254
Loss at step 600: 0.123531, train accuarcy : 0.845070
Loss at step 800: 0.116326, train accuarcy : 0.867606
Loss at step 1000: 0.107630, train accuarcy : 0.918310
Loss at step 1200: 0.099792, train accuarcy : 0.887324
Loss at step 1400: 0.093469, train accuarcy : 0.830986
Loss at step 1600: 0.086585, train accuarcy : 0.938028
Loss at step 1800: 0.089843, train accuarcy : 0.940845
Loss at step 2000: 0.079369, train accuarcy : 0.904225
Loss at step 2200: 0.073753, train accuarcy : 0.932394
Loss at step 2400: 0.077801, train accuarcy : 0.935211
Loss at step 2600: 0.072208, train accuarcy : 0.929577
Loss at step 2800: 0.070046, train accuarcy : 0.938028
Loss at step 3000: 0.070779, train accuarcy : 0.918310
Loss at step 3200: 0.066193, train accuarcy : 0.923944
Loss at step 3400: 0.063207, train accuarcy : 0.912676
Loss at step 3600: 0.063215, train accuarcy : 0.932394
Loss at step 3800: 0.065374, train accuarcy : 0.957746
Loss at step 4000: 0.063806, train accuarcy : 0.954930
cross validation  1
Initialized
Loss at step 0: 0.611603, train accuarcy : 0.447887
Loss at step 200: 0.137574, train accuarcy : 0.859155
Loss at step 400: 0.121416, train accuarcy : 0.864789
Loss at step 600: 0.105484, train accuarcy : 0.887324
Loss at step 800: 0.096812, train accuarcy : 0.892958
Loss at step 1000: 0.082924, train accuarcy : 0.830986
Loss at step 1200: 0.079735, train accuarcy : 0.909859
Loss at step 1400: 0.080630, train accuarcy : 0.907042
Loss at step 1600: 0.075562, train accuarcy : 0.890141
Loss at step 1800: 0.069931, train accuarcy : 0.929577
Loss at step 2000: 0.070680, train accuarcy : 0.929577
Loss at step 2200: 0.073087, train accuarcy : 0.940845
Loss at step 2400: 0.066126, train accuarcy : 0.949296
Loss at step 2600: 0.066629, train accuarcy : 0.940845
Loss at step 2800: 0.066422, train accuarcy : 0.909859
Loss at step 3000: 0.069597, train accuarcy : 0.943662
Loss at step 3200: 0.062043, train accuarcy : 0.923944
Loss at step 3400: 0.064517, train accuarcy : 0.929577
Loss at step 3600: 0.062199, train accuarcy : 0.929577
Loss at step 3800: 0.058441, train accuarcy : 0.929577
Loss at step 4000: 0.056483, train accuarcy : 0.915493
cross validation  2
Initialized
Loss at step 0: 1.023193, train accuarcy : 0.380282
Loss at step 200: 0.169278, train accuarcy : 0.850704
Loss at step 400: 0.143012, train accuarcy : 0.873239
Loss at step 600: 0.128046, train accuarcy : 0.816901
Loss at step 800: 0.116650, train accuarcy : 0.887324
Loss at step 1000: 0.104934, train accuarcy : 0.870423
Loss at step 1200: 0.094286, train accuarcy : 0.918310
Loss at step 1400: 0.091163, train accuarcy : 0.901408
Loss at step 1600: 0.094712, train accuarcy : 0.895775
Loss at step 1800: 0.082779, train accuarcy : 0.926761
Loss at step 2000: 0.083801, train accuarcy : 0.884507
Loss at step 2200: 0.080276, train accuarcy : 0.926761
Loss at step 2400: 0.079474, train accuarcy : 0.912676
Loss at step 2600: 0.076648, train accuarcy : 0.853521
Loss at step 2800: 0.067755, train accuarcy : 0.935211
Loss at step 3000: 0.070725, train accuarcy : 0.935211
Loss at step 3200: 0.073340, train accuarcy : 0.929577
Loss at step 3400: 0.068102, train accuarcy : 0.938028
Loss at step 3600: 0.065455, train accuarcy : 0.946479
Loss at step 3800: 0.066293, train accuarcy : 0.940845
Loss at step 4000: 0.065414, train accuarcy : 0.943662
cross validation  3
Initialized
Loss at step 0: 0.528447, train accuarcy : 0.487324
Loss at step 200: 0.154347, train accuarcy : 0.805634
Loss at step 400: 0.126977, train accuarcy : 0.881690
Loss at step 600: 0.107785, train accuarcy : 0.892958
Loss at step 800: 0.092044, train accuarcy : 0.912676
Loss at step 1000: 0.099676, train accuarcy : 0.907042
Loss at step 1200: 0.092665, train accuarcy : 0.878873
Loss at step 1400: 0.081808, train accuarcy : 0.923944
Loss at step 1600: 0.078203, train accuarcy : 0.901408
Loss at step 1800: 0.076615, train accuarcy : 0.918310
Loss at step 2000: 0.076112, train accuarcy : 0.918310
